CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	Boa Vista, São José do Rio Preto	São José do Rio Preto
6/25/2023 11:09:13	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/24019	500000	Boa Vista			Mais que 400 mil	3	2	440	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:09:41	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23589	380000	Boa Vista			350-400 mil	>=4	2	264	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:10:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23565	450000	Boa Vista			Mais que 400 mil	2	1	450	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:11:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23380	250000	Boa Vista			Até 250 mil	3	1	368	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:12:02	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23379	420000	Boa Vista			Mais que 400 mil	3	2	220	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:12:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/23016	2000000	Boa Vista			Mais que 400 mil	>=4	7	936	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:13:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22890	330000	Boa Vista			300-350 mil	3	3	242	Não	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:14:02	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22578	500000	Boa Vista			Mais que 400 mil	2	1	275	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:14:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22297	360000	Boa Vista			350-400 mil	>=4	3	341	Sim	CENTRO	Boa Vista, São José do Rio Preto	
6/25/2023 11:15:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Boa-Vista/22230	250000	Boa Vista			Até 250 mil	2	2	242	Sim	CENTRO	Boa Vista, São José do Rio Preto	
