CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	bbbb	São José Do Rio Preto
6/24/2023 12:08:56	redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Bosque-da-Felicidade/23732	340000	Bosque Da Felicidade			300-350 mil	3	3	252,0	Não	LESTE	Bosque Da Felicidade, São José Do Rio Preto	
6/24/2023 12:09:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Bosque-da-Felicidade/19524	367500	Bosque Da Felicidade			350-400 mil	3	4	221,0	Não	LESTE	Bosque Da Felicidade, São José Do Rio Preto	
6/24/2023 12:10:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Bosque-da-Felicidade/23843	260000	Bosque Da Felicidade			250-300 mil	3	3	250,0	Não	LESTE	Bosque Da Felicidade, São José Do Rio Preto	
6/24/2023 12:11:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Bosque-da-Felicidade/1860	305000	Bosque Da Felicidade			300-350 mil	>=4	2	200,0	Sim	LESTE	Bosque Da Felicidade, São José Do Rio Preto	
6/24/2023 12:12:05	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Bosque-da-Felicidade/14842	270000	Bosque Da Felicidade			250-300 mil	3	2	252,0	Sim	LESTE	Bosque Da Felicidade, São José Do Rio Preto	
6/24/2023 12:13:03	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Centro-Engenheiro-Schmitt/11860	420000	Engenheiro Schimtt			Mais que 400 mil	3	2	237,0	Não	LESTE	Engenheiro Schimtt, São José Do Rio Preto	
6/24/2023 12:13:49	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Centro-Engenheiro-Schmitt/1499	450000	Engenheiro Schimitt			Mais que 400 mil	3	3	386,0	Não	LESTE	Engenheiro Schimitt, São José Do Rio Preto	
6/24/2023 12:14:30	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Centro-Engenheiro-Schmitt/11762	500000	Engenheiro Schimitt			Mais que 400 mil	3	2	201.40	Não	LESTE	Engenheiro Schimitt, São José Do Rio Preto	
6/24/2023 12:15:14	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Conjunto-Habitacional-Cristo-Rei/23000	400000	Habitacional Cristo Rei			Mais que 400 mil	3	2	200,0	Não	LESTE	Habitacional Cristo Rei, São José Do Rio Preto	
6/24/2023 12:15:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Conjunto-Habitacional-Cristo-Rei/18853	315000	Habitacional Cristo Rei			300-350 mil	3	2	200,0	Não	LESTE	Habitacional Cristo Rei, São José Do Rio Preto	
