CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	dddd	São José do Rio Preto
6/19/2023 19:20:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Cecap/16648	480000	Cecap			Mais que 400 mil	>=4	2	287,0	Não	NORTE	Cecap, São José do Rio Preto	
6/19/2023 19:21:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Cecap/11556	240000	Cecap			Até 250 mil	3	2	200,0	Não	NORTE	Cecap, São José do Rio Preto	
6/19/2023 19:23:06	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Conjunto-Habitacional-Costa-do-Sol/16685	370000	Costa do Sol			350-400 mil	3	2	200,0	Não	NORTE	Costa do Sol, São José do Rio Preto	
6/19/2023 19:24:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Conjunto-Habitacional-Costa-do-Sol/3384	280000	Costa do Sol			250-300 mil	2	1	200,0	Não	NORTE	Costa do Sol, São José do Rio Preto	
6/19/2023 19:24:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Conjunto-Habitacional-Costa-do-Sol/14163	470000	Costa do Sol			Mais que 400 mil	3	2	200,0	Não	NORTE	Costa do Sol, São José do Rio Preto	
6/19/2023 19:25:52	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/23550	320000	Eldorado			300-350 mil	3	2	215,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:27:36	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/23252	380000	Eldorado			350-400 mil	3	3	253,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:28:45	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/23308	320000	Eldorado			300-350 mil	3	2	253,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:29:37	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/20885	250000	Eldorado			250-300 mil	3	2	253,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:31:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/21158	400000	Eldorado			350-400 mil	3	3	253,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:32:13	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/20700	260000	Eldorado			250-300 mil	3	3	247,0	Sim	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:34:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/19597	450000	Eldorado			Mais que 400 mil	3	5	260,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:35:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/20423	280000	Eldorado			250-300 mil	3	2	250,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:36:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/18253	430000	Eldorado			Mais que 400 mil	3	3	353,0	Sim	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:37:05	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/18580	440000	Eldorado			Mais que 400 mil	>=4	3	392,0	Sim	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:38:19	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Eldorado/17537	330000	Eldorado			300-350 mil	3	3	275,0	Não	NORTE	Eldorado, São José do Rio Preto	
6/19/2023 19:39:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Antunes/22204	320000	Jardim Antunes			300-350 mil	2	1	200,0	Não	NORTE	Jardim Antunes, São José do Rio Preto	
6/19/2023 19:39:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Antunes/13910	280000	Jardim Antunes			250-300 mil	3	2	200,0	Não	NORTE	Jardim Antunes, São José do Rio Preto	
6/19/2023 19:40:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Arroyo/20465	320000	Jardim Arroyo			300-350 mil	>=4	3	236,0	Não	NORTE	Jardim Arroyo, São José do Rio Preto	
6/19/2023 19:41:31	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Arroyo/942	380000	Jardim Arroyo			350-400 mil	3	3	200,0	Não	NORTE	Jardim Arroyo, São José do Rio Preto	
6/19/2023 19:42:29	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Bianco/14799	350000	Jardim Bianco			350-400 mil	3	2	200,0	Não	NORTE	Jardim Bianco, São José do Rio Preto	
6/19/2023 19:43:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Bianco/996	465000	Jardim Bianco			Mais que 400 mil	3	2	205,0	Não	NORTE	Jardim Bianco, São José do Rio Preto	
6/19/2023 19:45:27	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Lucia/18740	265000	Jardim Maria Lucia			250-300 mil	3	1	200,0	Não	NORTE	Jardim Maria Lucia, São José do Rio Preto	
6/19/2023 19:46:12	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Maria-Lucia/3511	230000	Jardim Maria Lucia			Até 250 mil	3	1	220,0	Não	NORTE	Jardim Maria Lucia, São José do Rio Preto	
6/19/2023 19:47:08	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Nunes/21181	320000	Jardim Nunes			300-350 mil	3	2	200,0	Não	NORTE	Jardim Nunes, São José do Rio Preto	
6/20/2023 18:55:33	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/22266	380000	Nato Vetorasso			350-400 mil	3	3	293,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:56:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/21767	399000	Nato Vetorasso			350-400 mil	2	3	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:57:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/21578	430000	Nato Vetorasso			Mais que 400 mil	3	3	288,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:57:58	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/19440	315000	Nato Vetorasso			300-350 mil	3	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:58:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/21549	390000	Nato Vetorasso			350-400 mil	3	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 18:59:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/19069	325000	Nato Vetorasso			300-350 mil	2	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 19:00:09	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/14297	390000	Nato Vetorasso			350-400 mil	3	2	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 19:00:53	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Nato-Vetorasso/3446	400000	Nato Vetorasso			350-400 mil	3	3	200,0	Não	NORTE	Nato Vetorasso, São José do Rio Preto	
6/20/2023 19:02:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Residencial-Morada-do-Sol/20613	310000	Morada do Sol			300-350 mil	3	2	200,0	Não	NORTE	Morada do Sol, São José do Rio Preto	
