Carimbo de data/hora	LINK DA CASA	VALOR DA CASA	Bairro	Valor do Imóvel 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	Tamanho do Terreno	TEM EDÍCULA?	ZONA	eeeee	São José do Rio Preto
6/29/2023 9:37:14	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/15915	1800000	Alto Rio Preto	Mais que 400 mil	3	5	550	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 9:38:18	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/14983	1800000	Alto Rio Preto	Mais que 400 mil	>=4	8	872	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 9:39:22	https://www.compactoimoveis.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/8028	1600000	Alto Rio Preto	Mais que 400 mil	>=4	12	484	Não	OESTE		
6/29/2023 9:43:15	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/7603	950000	Alto Rio Preto	Mais que 400 mil	3	4	494	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 9:47:52	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/6736	1500000	Alto Rio Preto	Mais que 400 mil	>=4	6	505	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 9:48:40	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/5817	700000	Alto Rio Preto	Mais que 400 mil	3	2	280	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 9:49:37	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Canaa/19457	650000	Jardim Canaa	Mais que 400 mil	3	4	240	Não	OESTE	Jardim Canaa, São José do Rio Preto	
6/29/2023 9:51:47	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Alto-Rio-Preto/24424	760000	Alto Rio Preto 	Mais que 400 mil	3	4	384	Não	OESTE	Alto Rio Preto, São José do Rio Preto	
6/29/2023 9:52:53	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Canaa/18409	380000	Jardim Canaa	350-400 mil	3	1	300	Não	OESTE	Jardim Canaa, São José do Rio Preto	
6/29/2023 9:53:34	https://www.compactoimoveis.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Canaa/6046	550000	Jardim Canaa	Mais que 400 mil	>=4	4	363	Sim	OESTE	Jardim Canaa, São José do Rio Preto	
