CARIMBO DE DATA/HORA	LINK DA CASA	VALOR DA CASA	BAIRRO	RUA	NÚMERO 	VALOR DO IMÓVEL 	NÚMERO DE QUARTOS	NÚMERO DE BANHEIROS	TAMANHO DO TERRENO	TEM EDÍCULA?	ZONA	ccccc	São José do Rio Preto
6/19/2023 20:47:07	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Urano/21452	330000	Jardim Urano			300-350 mil	2	1	140,0	Não	SUL	Jardim Urano, São José do Rio Preto	
6/19/2023 20:49:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Urano/18903	250000	Jardim Urano			250-300 mil	2	1	200,0	Não	SUL	Jardim Urano, São José do Rio Preto	
6/19/2023 20:50:02	https://www.redentora.com.br/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Urano/18052	550000	Jardim Urano			Mais que 400 mil	3	2	265,0	Não	SUL	Jardim Urano, São José do Rio Preto	
6/19/2023 20:50:55	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Urano/1481	450000	Jardim Urano			Mais que 400 mil	3	3	259,0	Não	SUL	Jardim Urano, São José do Rio Preto	
6/19/2023 20:51:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Urano/1131	500000	Jardim Urano			Mais que 400 mil	3	1	527,0	Não	SUL	Jardim Urano, São José do Rio Preto	
6/19/2023 20:57:24	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/23650	495000	Parque Estoril			Mais que 400 mil	3	2	444,0	Sim	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 20:58:18	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/23519	480000	Parque Estoril			Mais que 400 mil	>=4	6	360,0	Sim	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 20:58:57	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/22837	350000	Parque Estoril			300-350 mil	3	2	198,0	Não	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 20:59:42	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/22273	380000	Parque Estoril			350-400 mil	2	3	230,0	Não	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 21:00:28	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/17258	410000	Parque Estoril			Mais que 400 mil	3	2	126,0	Não	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 21:01:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/8441	367000	Parque Estoril			350-400 mil	3	2	360,0	Não	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 21:01:44	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Estoril/1116	470000	Parque Estoril			Mais que 400 mil	3	2	360,0	Não	SUL	Parque Estoril, São José do Rio Preto	
6/19/2023 21:03:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Viena/17976	520000	Jardim Viena			Mais que 400 mil	>=4	5	360,0	Sim	SUL	Jardim Viena, São José do Rio Preto	
6/19/2023 21:04:32	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Viena/1899	480000	Jardim Viena			Mais que 400 mil	3	3	360,0	Não	SUL	Jardim Viena, São José do Rio Preto	
6/19/2023 21:06:26	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/23664	900000	Jardim Tarraf Ii			Mais que 400 mil	>=4	7	511,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:07:04	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/23315	900000	Jardim Tarraf Ii			Mais que 400 mil	3	4	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:07:40	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/22079	775000	Jardim Tarraf Ii			Mais que 400 mil	3	3	433,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:08:22	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/20370	890000	Jardim Tarraf Ii			Mais que 400 mil	3	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:09:16	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/18720	1050000	Jardim Tarraf Ii			Mais que 400 mil	>=4	5	491,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:10:00	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/18403	800000	Jardim Tarraf Ii			Mais que 400 mil	>=4	5	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:10:34	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/14939	920000	Jardim Tarraf Ii			Mais que 400 mil	3	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:11:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/14864	690000	Jardim Tarraf Ii			Mais que 400 mil	>=4	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:11:46	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/12298	660000	Jardim Tarraf Ii			Mais que 400 mil	3	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:12:35	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/6127	607000	Jardim Tarraf Ii			Mais que 400 mil	>=4	3	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
6/19/2023 21:13:11	https://www.redentora.com.br/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Jardim-Tarraf-II/5871	850000	Jardim Tarraf Ii			Mais que 400 mil	3	4	450,0	Não	SUL	Jardim Tarraf Ii, São José do Rio Preto	
